Company Name,Portfolio,FR_Dividend Pay Out Ratio(%),FR_PBIDTM (%),FR_PATM (%),FR_ROA (%),FR_ROE (%),FR_ROCE (%),FR_Asset Turnover(x),FR_Sales/Working Capital (x),FR_Net Sales Growth(%),FR_Core EBITDA Growth(%),Shareprice_Appriciation
ACC Ltd.,Cement Industry,54.31841389,12.51570874,4.346712947,4.517379018,6.918325178,9.978712433,1.039263248,-34.63973839,0.497240346,-6.368084433,4.770702021
Amara Raja Batteries Ltd.,Cement Industry,14.7651473,16.75931748,9.48298144,17.8060813,25.77054658,36.72499602,1.877688089,6.72993743,9.650896427,16.76734826,1.074413052
Ambuja Cements Ltd.,Cement Industry,53.78719481,17.57591661,7.491100678,5.76821676,7.946830952,12.40269666,0.770009243,3.276518627,-5.235363242,-19.43041741,2.261468878
Andhra Cements Ltd.,Cement Industry,0,10.26303343,-30.51068032,-7.761411564,-61.0270093,-3.802009671,0.254383432,-1.277828571,,390.021361,10.12195122
Andhra Cements Ltd.,Cement Industry,0,10.90249233,-19.75984039,-5.159976627,-89.47037156,0.70769585,0.26113453,-1.375835928,5.019033098,10.93734969,10.12195122
Atul Ltd.,Financial,10.84183604,17.91753932,9.793430877,12.58283705,20.33432062,26.16302017,1.284824206,7.815409492,-2.326465617,19.94702824,54.4634455
Avanti Feeds Ltd.,Financial,20.18444444,12.28165227,7.877118868,28.90141256,46.36450304,63.99866473,3.669033443,9.101804317,13.34518252,30.27842715,86.11424984
Bajaj Electricals Ltd.,Financial,29.61270808,6.071523321,2.056664206,2.898475763,12.86567541,24.82883258,1.409309188,99.88852358,0,0,64.30260047
Balaji Amines Ltd.,Financial,11.24772652,18.54674028,8.251628404,9.388770047,22.67702947,23.51153067,1.13780815,23.50052294,3.938460155,22.14338281,112.6610644
Britannia Industries Ltd.,Financial,29.10713853,15.51955391,9.556522898,26.50884073,49.44162558,67.83064067,2.773900195,21.87823374,6.856467331,40.64315505,26.4375549
Cummins India Ltd.,Financial,53.80145725,17.46342707,12.32243009,11.35308534,18.76369869,24.14186107,0.921334937,3.673125405,-3.985289092,-12.93895667,12.55120822
Deepak Nitrite Ltd.,Financial,22.24487904,11.55652584,4.316992564,5.204376014,15.38826802,13.62825307,1.205555937,-86.54918534,3.448560888,19.16305342,93.72693727
